genre;artist_id
norwegian hip hop;3X23gpg1vPacr0hBARyxtN
dutch pop;72qVrKXRp9GeFQOesj0Pmv
mexican pop;4AgfaZvOiSS97uy5ekQ7bf
german hip hop;2HdP7fpDiLWAvElYGg75gd
tropical house;7GMot9WvBYqhhJz92vhBp6
israeli mediterranean;4VFtBffxanXW7fbw1xH7at
electropop;5pdyjBIaY5o1yOyexGIUc6
puerto rican pop;4QVBYiagIaa6ZGSPMbybpy
finnish pop;61ZSrIBRin3VT35hbvS5UE
classic icelandic pop;6vZQqLEETz3r5dQFKnatlp
indie r&b;2vVT4qoxWje0gVD2FiWZ4u
rap;5OrB6Jhhrl9y2PK0pSV4VP
trap tuga;2MPXfFQ72KWgQGUDXrnCwO
finnish dance pop;0sddDn9xuwrGFzZrrr9uEn
latin;5rvaaWutd0gsbc2iMNo9k5
norwegian pop;29JlvmcJaB2Iv1dQZ8Jd8F
nu metal;2MqhkhX4npxDZ62ObR5ELO
edm;1LOB7jTeEV14pHai6EXSzF
filmi;0lMa3YTHqQnDDTBaxAV7LK
rock;0GByy3DcfbQwDvXGCWmzv9
japanese r&b;3eR0Jeo212WCF0Yyi46Pzj
danish hip hop;74HomvqoUecDcUPRespyqg
europop;67Lz9CWEfBpcH7myXeRb0b
dutch hip hop;0rQ69yrbz7CeUmXUn1beIj
dutch hip hop;1u7uShzlA1tXJeox3jMFPq
sertanejo universitario;7cmuxPnXRJxwuYDHfbD8Eu
taiwan indie;6xErgeZYatiaQ36SB5bvi8
cumbia santafesina;2Htm0q72SjGSmsy8EOIhRG
baroque pop;3kjuyTCjPG1WMFCiyc5IuB
sky room;66MrdPDHTjnnMOTBmC81q5
australian dance;0CbeG1224FS58EUx4tPevZ
german underground rap;7u0cYeefrzVUt6CfDQCpT0
pop;79Xp2rRN7wdsaTJgttdX3K
electro house;09GJU4jF4zhNfN72mTyMCi
latin pop;5xSx2FM8mQnrfgM1QsHniB
vapor pop;2Zi3RrdQqk63Xj0914STkS
gauze pop;4csQIMQm6vI2A2SCVDuM2z
tropical;1ackd5XprZEkH3McKbQD51
pop;3nViOFa3kZW8OMSNOzwr98
desi hip hop;5rQoBDKFnd1n6BkdbgVaRL
latin;1ljNTY4uIBecRJmy69UNWt
j-acoustic;706WzkJEacBrtkHKRpBU2q
rock;77tT1kLj6mCWtFNqiOmP9H
soul;293zczrfYafIItmnmM3coR
rap conscient;2s7fZ34RK8RUJQ2ewsh6I5
french pop;6jStlKLflTMUN6BajxrNlj
dance pop;63bCkf4n15jiKjHhLV7kSZ
chinese electropop;1TcbdifqhtxLz77unBYJ7z
indonesian pop;0HS00NN7MAfF59aJnfcxSO
uk pop;6NEekR0i3JC1r4BntSjskE
pop rap;0hCNtLu0JehylgoiP8L4Gh
norwegian pop;46XcyK8FnyCJJlvYCUwVZH
trap italiana;4RrtqH6egYYBfJrnLkhINz
nz pop;6S0IvKlvPMX1RtAYtVpUV8
turkish pop;5h2jTdwf4p0dM34aBykPzZ
pop;0uGk2czvcpWQA383Im6ajf
filmi;1cfG7UM0OD4O1II1nd15Qo
indie rock;4l1cKWYW591xnwEGxpUg3J
finnish dance pop;3QhMkujlcwd5TqLp4p3KUR
electra;4j5KBTO4tk7up54ZirNGvK
portuguese pop;6tIIe4TjUAUBgebA9j53ch
pop rock;7H55rcKCfwqkyDFH9wpKM6
german cloud rap;5fNCrHCBzuRdM8AbVajVh0
nueva cancion;46KmqHQ1EfYqQtO7r77AMp
norwegian singer-songwriter;30wwNbASvE9GkBDsNVCsnn
rock kapak;51yFVX4bDGD1me2jOFKTmw
rock nacional;1bZNv4q3OxYq7mmnLha7Tu
latin;0EmeFodog0BfCgMzAIvKQp
norwegian pop;2GN0eor58XbyUUfQxWTgYn
otacore;6m14xgA0m3w92UM7ujJgky
pop;6S0dmVVn4udvppDhZIWxCr
norwegian pop;54CixfaGAPcjkP7Dx5PjvV
sertanejo pop;3WQ1s2QFvL6crxBvrVhwzj
dutch trap pop;0rQ69yrbz7CeUmXUn1beIj
malaysian hip hop;30qXGJPzFQrbUictr7MUn4
german hip hop;6SGVQ8bD0Hab6BItkqWVuJ
german pop rock;4I7D65YMlr6ZxVEGPb7q2K
bubblegum dance;15qI5w4XJFLRMwOp2VrlD5
dutch hip hop;6Ul16nbSefjbgfpDz2k9il
norwegian pop rap;3f8ujTspJT6Voq6HYEv3i2
french pop;3AGggQTwJaSofLcpDlYhV4
trap soul;0pkwrPVI8UyXtPkavyJoZ4
k-pop;3cjEqqelV9zb4BYE3qDQ4O
